,hash_sample,offset,covariates_beta,drift_beta,name,age,filename,y_pred,y_drift,predicted_age,euclidean,cosine,identity_grouping_distance,orig_TP,orig_FN,virtual_TP,virtual_FN,stat_TP,stat_FP,stat_undefined
15,16,0.01,0,1,MireilleDarc,51,11678_MireilleDarc_51_f.jpg,MireilleDarc,MarcelloMastroianni,-0.2,11.16841793,0.021970849,-6014.627176,1,0,0,1,0,1,0
16,17,0.01,0,1,MireilleDarc,54,11679_MireilleDarc_54_f.jpg,MireilleDarc,MarcelloMastroianni,2.28,12.53948021,-0.054718617,-8349.53399,1,0,0,1,0,1,0
17,18,0.01,0,1,MireilleDarc,58,11683_MireilleDarc_58_f.jpg,MireilleDarc,MarcelloMastroianni,0.38,12.06155872,0.016436592,-9799.357844,1,0,0,1,0,1,0
18,19,0.01,0,1,BarbaraBouchet,25,11847_BarbaraBouchet_25_f.jpg,MireilleDarc,MireilleDarc,-3.93,12.30278969,0.111032195,8822.663527,0,1,0,1,0,0,1
19,20,0.01,0,1,BarbaraBouchet,61,11870_BarbaraBouchet_61_f.jpg,BarbaraBouchet,AngieDickinson,1.43,12.36476421,0.121873543,1095.00911,1,0,0,1,0,1,0
20,21,0.01,0,1,BarbaraBouchet,68,11876_BarbaraBouchet_68_f.jpg,BarbaraBouchet,AngieDickinson,-8.62,12.69933319,-7.64E-05,-2693.377179,1,0,0,1,0,1,0
21,22,0.01,0,1,AngelaLansbury,20,11948_AngelaLansbury_20_f.jpg,AngelaLansbury,AngelaLansbury,0,11.80639458,0.254340649,-1992.733063,1,0,1,0,1,0,0
22,23,0.01,0,1,AngelaLansbury,35,11959_AngelaLansbury_35_f.jpg,AngelaLansbury,AngelaLansbury,-7.31,12.08243847,0.070544183,17863.21541,1,0,1,0,1,0,0
23,24,0.01,0,1,AngelaLansbury,41,11962_AngelaLansbury_41_f.jpg,AngelaLansbury,AngelaLansbury,-1.01,3.275812864,0.808240175,-6678.626226,1,0,1,0,1,0,0
24,25,0.01,0,1,AngelaLansbury,46,11964_AngelaLansbury_46_f.jpg,AngelaLansbury,AngelaLansbury,-1.34,11.11051464,0.149420962,-2468.962126,1,0,1,0,1,0,0
25,26,0.01,0,1,AngelaLansbury,60,11971_AngelaLansbury_60_f.jpg,AngelaLansbury,AngelaLansbury,-3.97,12.99425697,0.121076711,-9008.132411,1,0,1,0,1,0,0
26,27,0.01,0,1,AngelaLansbury,67,11977_AngelaLansbury_67_f.jpg,AngelaLansbury,AngelaLansbury,-1.24,12.57554245,0.127021864,12574.81804,1,0,1,0,1,0,0
27,28,0.01,0,1,AngelaLansbury,80,11984_AngelaLansbury_80_f.jpg,AngelaLansbury,AngelaLansbury,-1.37,12.39865208,0.249807954,-156.7678246,1,0,1,0,1,0,0
28,29,0.01,0,1,AngelaLansbury,87,11989_AngelaLansbury_87_f.jpg,AngelaLansbury,AngelaLansbury,2.43,13.27620506,0.025554039,2263.531641,1,0,1,0,1,0,0
29,30,0.01,0,1,DebbieReynolds,24,12024_DebbieReynolds_24_f.jpg,DebbieReynolds,BenGazzara,2.26,10.32340813,0.20282273,-2027.354877,1,0,0,1,0,1,0
30,31,0.01,0,1,DebbieReynolds,69,12045_DebbieReynolds_69_f.jpg,DebbieReynolds,BenGazzara,-4.49,13.69528103,-0.108998753,23931.30035,1,0,0,1,0,1,0
31,32,0.01,0,1,DebbieReynolds,78,12055_DebbieReynolds_78_f.jpg,DebbieReynolds,BenGazzara,4.72,13.74562359,-0.075551391,6184.819664,1,0,0,1,0,1,0
32,33,0.01,0,1,EvaMarieSaint,30,12092_EvaMarieSaint_30_f.jpg,EvaMarieSaint,EvaMarieSaint,-1.38,4.224552155,0.694451928,12229.00978,1,0,1,0,1,0,0
33,34,0.01,0,1,EvaMarieSaint,44,12103_EvaMarieSaint_44_f.jpg,EvaMarieSaint,EvaMarieSaint,6.16,7.19259882,0.246125758,16309.6911,1,0,1,0,1,0,0
34,35,0.01,0,1,EvaMarieSaint,73,12115_EvaMarieSaint_73_f.jpg,EvaMarieSaint,EvaMarieSaint,-4.53,9.566841125,0.201327533,-1810.141089,1,0,1,0,1,0,0
35,36,0.01,0,1,EvaMarieSaint,82,12121_EvaMarieSaint_82_f.jpg,EvaMarieSaint,EvaMarieSaint,7.84,13.23198795,-0.029639121,7361.170057,1,0,1,0,1,0,0
36,37,0.01,0,1,MickJagger,18,121_MickJagger_18_m.jpg,MickJagger,GladysCooper,-3.77,8.645248413,0.334970355,20373.97876,1,0,0,1,0,1,0
37,38,0.01,0,1,MyrnaLoy,51,12329_MyrnaLoy_51_f.jpg,MyrnaLoy,JonVoight,-1.69,11.86409569,0.029058127,-7127.954392,1,0,0,1,0,1,0
38,39,0.01,0,1,MyrnaLoy,75,12330_MyrnaLoy_75_f.jpg,MyrnaLoy,JonVoight,13.1,9.047288895,0.339963675,-2394.16535,1,0,0,1,0,1,0
39,40,0.01,0,1,MyrnaLoy,20,12337_MyrnaLoy_20_f.jpg,MyrnaLoy,JonVoight,-5.82,8.612822533,0.241823107,6882.613594,1,0,0,1,0,1,0
40,41,0.01,0,1,MyrnaLoy,67,12364_MyrnaLoy_67_f.jpg,MyrnaLoy,JonVoight,1.05,13.46090984,-0.036177706,3719.956901,1,0,0,1,0,1,0
41,42,0.01,0,1,MyrnaLoy,33,12376_MyrnaLoy_33_f.jpg,MyrnaLoy,JonVoight,-4.24,11.64705849,0.17261003,-31744.45559,1,0,0,1,0,1,0
42,43,0.01,0,1,AngieDickinson,47,12425_AngieDickinson_47_f.jpg,AngieDickinson,AngieDickinson,3.41,12.48271656,-0.053826936,-4791.346977,1,0,1,0,1,0,0
43,44,0.01,0,1,AngieDickinson,31,12438_AngieDickinson_31_f.jpg,AngieDickinson,AngieDickinson,3.21,7.004934788,0.316908747,13237.32684,1,0,1,0,1,0,0
44,45,0.01,0,1,AngieDickinson,42,12445_AngieDickinson_42_f.jpg,AngieDickinson,AngieDickinson,9.26,12.83995247,0.055260871,-14.82728779,1,0,1,0,1,0,0
45,46,0.01,0,1,AngieDickinson,76,12457_AngieDickinson_76_f.jpg,AngieDickinson,AngieDickinson,-0.58,12.60067654,0.101122193,7432.703236,1,0,1,0,1,0,0
46,47,0.01,0,1,FrancesDee,43,12607_FrancesDee_43_f.jpg,FrancesDee,FrancesDee,0.45,10.94695568,0.169999287,-5852.657764,1,0,1,0,1,0,0
47,48,0.01,0,1,FrancesDee,83,12612_FrancesDee_83_f.jpg,FrancesDee,FrancesDee,1.37,12.94314098,-0.019498842,795.8742011,1,0,1,0,1,0,0
48,49,0.01,0,1,FrancesDee,89,12613_FrancesDee_89_f.jpg,FrancesDee,FrancesDee,-4.54,10.58162594,0.21297133,9588.54141,1,0,1,0,1,0,0
49,50,0.01,0,1,GeraldineChaplin,38,13032_GeraldineChaplin_38_f.jpg,MireilleDarc,MireilleDarc,-6.52,4.691775799,0.575466335,9534.958661,0,1,0,1,0,0,1
50,51,0.01,0,1,GeraldineChaplin,52,13041_GeraldineChaplin_52_f.jpg,GeraldineChaplin,MichelPiccoli,-0.08,11.01970196,0.163349748,-3861.106375,1,0,0,1,0,1,0
51,52,0.01,0,1,GeraldineChaplin,53,13042_GeraldineChaplin_53_f.jpg,KevinBacon,KevinBacon,2.21,11.84821987,0.28888911,16498.34699,0,1,0,1,0,0,1
52,53,0.01,0,1,GeraldineChaplin,66,13052_GeraldineChaplin_66_f.jpg,GeraldineChaplin,MichelPiccoli,-0.15,13.21718121,0.024736973,390.5523386,1,0,0,1,0,1,0
53,54,0.01,0,1,DanielleDarrieux,36,13417_DanielleDarrieux_36_f.jpg,DanielleDarrieux,DanielleDarrieux,7.09,9.43829155,0.309809268,12492.73639,1,0,1,0,1,0,0
54,55,0.01,0,1,DanielleDarrieux,38,13419_DanielleDarrieux_38_f.jpg,DanielleDarrieux,DanielleDarrieux,2.53,7.859444141,0.308275163,-2121.199497,1,0,1,0,1,0,0
55,56,0.01,0,1,DanielleDarrieux,40,13420_DanielleDarrieux_40_f.jpg,DanielleDarrieux,DanielleDarrieux,-8.73,12.08986187,0.172485828,7513.652705,1,0,1,0,1,0,0
56,57,0.01,0,1,DanielleDarrieux,64,13436_DanielleDarrieux_64_f.jpg,DanielleDarrieux,DanielleDarrieux,3.01,13.03546047,0.036041439,-12980.43547,1,0,1,0,1,0,0
57,58,0.01,0,1,DanielleDarrieux,65,13437_DanielleDarrieux_65_f.jpg,DanielleDarrieux,DanielleDarrieux,0.69,12.72419453,0.024000097,18185.60653,1,0,1,0,1,0,0
58,59,0.01,0,1,HelenHayes,31,13522_HelenHayes_31_f.jpg,HelenHayes,HelenHayes,6.58,5.642525196,0.589661479,6000.650414,1,0,1,0,1,0,0
59,60,0.01,0,1,HelenHayes,52,13526_HelenHayes_52_f.jpg,HelenHayes,HelenHayes,3.65,3.171765566,0.805764794,-5299.78848,1,0,1,0,1,0,0
60,61,0.01,0,1,HelenHayes,23,13533_HelenHayes_23_f.jpg,HelenHayes,HelenHayes,-1.52,14.01763916,-0.064086542,21567.91627,1,0,1,0,1,0,0
61,62,0.01,0,1,HelenHayes,34,13537_HelenHayes_34_f.jpg,HelenHayes,HelenHayes,-4.4,10.33277988,0.151562586,3305.830694,1,0,1,0,1,0,0
62,63,0.01,0,1,HelenHayes,85,13539_HelenHayes_85_f.jpg,HelenHayes,HelenHayes,-4.44,15.09603977,-0.0811323,-709.3157401,1,0,1,0,1,0,0
63,64,0.01,0,1,HelenHayes,78,13550_HelenHayes_78_f.jpg,HelenHayes,HelenHayes,1.8,9.813465118,0.252731889,-16738.67056,1,0,1,0,1,0,0
64,65,0.01,0,1,HelenHayes,70,13554_HelenHayes_70_f.jpg,HelenHayes,HelenHayes,-2.5,13.88823032,-0.048940841,-13798.96676,1,0,1,0,1,0,0
65,66,0.01,0,1,AudreyHepburn,62,14520_AudreyHepburn_62_f.jpg,AudreyHepburn,AudreyHepburn,2.57,13.61830616,0.075950414,-4808.67052,1,0,1,0,1,0,0
66,67,0.01,0,1,AudreyHepburn,24,14530_AudreyHepburn_24_f.jpg,AudreyHepburn,AudreyHepburn,0.65,11.62798691,0.17766346,7287.317264,1,0,1,0,1,0,0
67,68,0.01,0,1,AudreyHepburn,24,14531_AudreyHepburn_24_f.jpg,AudreyHepburn,AudreyHepburn,-1.09,12.80139542,0.043360837,-4239.540299,1,0,1,0,1,0,0
68,69,0.01,0,1,AudreyHepburn,25,14534_AudreyHepburn_25_f.jpg,AudreyHepburn,AnthonyHopkins,-1.95,11.71746635,0.02172357,-3271.020538,1,0,0,1,0,1,0
69,70,0.01,0,1,AudreyHepburn,32,14537_AudreyHepburn_32_f.jpg,AudreyHepburn,AudreyHepburn,-2.01,11.14723206,0.163874045,4452.427045,1,0,1,0,1,0,0
70,71,0.01,0,1,AudreyHepburn,36,14551_AudreyHepburn_36_f.jpg,AudreyHepburn,TomJones,1.36,13.43286133,-0.049434274,3402.831667,1,0,0,1,0,1,0
71,72,0.01,0,1,AnnMiller,15,15001_AnnMiller_15_f.jpg,AnnMiller,AlbertoSordi,-0.04,8.427530289,0.374242872,-2031.226206,1,0,0,1,0,1,0
72,73,0.01,0,1,AnnMiller,17,15003_AnnMiller_17_f.jpg,AnnMiller,AlbertoSordi,-4.09,13.23736,0.140030846,-3308.981874,1,0,0,1,0,1,0
73,74,0.01,0,1,AnnMiller,21,15007_AnnMiller_21_f.jpg,HelenHayes,HelenHayes,-2.29,4.422580719,0.678414583,-13724.67133,0,1,0,1,0,0,1
74,75,0.01,0,1,AnnMiller,42,15022_AnnMiller_42_f.jpg,AnnMiller,AlbertoSordi,7.98,12.79183769,0.014711091,-975.9392304,1,0,0,1,0,1,0
75,76,0.01,0,1,AnnMiller,60,15032_AnnMiller_60_f.jpg,AnnMiller,AlbertoSordi,-2.81,9.239601135,0.300122112,-309.8676798,1,0,0,1,0,1,0
76,77,0.01,0,1,DyanCannon,40,15260_DyanCannon_40_f.jpg,DyanCannon,DyanCannon,-1.98,10.33442688,0.048504103,-8878.078709,1,0,1,0,1,0,0
77,78,0.01,0,1,DyanCannon,67,15276_DyanCannon_67_f.jpg,DyanCannon,DyanCannon,-2.15,12.45217133,-0.168115363,3971.071175,1,0,1,0,1,0,0
78,79,0.01,0,1,DyanCannon,68,15277_DyanCannon_68_f.jpg,DyanCannon,DyanCannon,-2.42,12.22406769,-0.101661004,-301.0204875,1,0,1,0,1,0,0
79,80,0.01,0,1,DyanCannon,70,15279_DyanCannon_70_f.jpg,DyanCannon,DyanCannon,0.57,12.56514359,-0.11641328,1984.871641,1,0,1,0,1,0,0
80,81,0.01,0,1,DyanCannon,72,15281_DyanCannon_72_f.jpg,DyanCannon,DyanCannon,-0.78,12.36833096,-0.087862454,-2940.762738,1,0,1,0,1,0,0
81,82,0.01,0,1,DyanCannon,75,15283_DyanCannon_75_f.jpg,DyanCannon,DyanCannon,-3.47,13.31302929,-0.058651619,10255.57515,1,0,1,0,1,0,0
82,83,0.01,0,1,DyanCannon,32,15289_DyanCannon_32_f.jpg,DyanCannon,DyanCannon,-2.36,12.76300144,0.041170888,1163.078712,1,0,1,0,1,0,0
83,84,0.01,0,1,JanePowell,14,15369_JanePowell_14_f.jpg,HelenHayes,HelenHayes,-1.58,10.69348717,0.277819723,-18785.80686,0,1,1,0,0,0,1
84,85,0.01,0,1,JanePowell,38,15388_JanePowell_38_f.jpg,JanePowell,JanePowell,-0.91,13.79760742,0.003982436,10756.49134,1,0,1,0,1,0,0
85,86,0.01,0,1,JanePowell,74,15411_JanePowell_74_f.jpg,JanePowell,JanePowell,-0.25,12.99066162,0.02358509,6150.748436,1,0,1,0,1,0,0
86,87,0.01,0,1,JanePowell,77,15414_JanePowell_77_f.jpg,JanePowell,JanePowell,-3.96,13.1382618,-0.005450289,-5708.451035,1,0,1,0,1,0,0
87,88,0.01,0,1,JanePowell,81,15418_JanePowell_81_f.jpg,JanePowell,BobDylan,-5.85,11.52138519,0.233425617,-5051.705512,1,0,0,1,0,1,0
88,89,0.01,0,1,JeanetteMacDonald,32,15468_JeanetteMacDonald_32_f.jpg,JeanetteMacDonald,JeanetteMacDonald,-0.8,7.222342491,0.360766619,2134.036464,1,0,1,0,1,0,0
89,90,0.01,0,1,JeanetteMacDonald,39,15479_JeanetteMacDonald_39_f.jpg,JeanetteMacDonald,JeanetteMacDonald,-1.02,6.25443697,0.375662237,-2802.795421,1,0,1,0,1,0,0
90,91,0.01,0,1,JeanetteMacDonald,44,15484_JeanetteMacDonald_44_f.jpg,MireilleDarc,MireilleDarc,4.17,8.393996239,0.153749704,-6337.066657,0,1,1,0,0,0,1
91,92,0.01,0,1,JeanetteMacDonald,46,15486_JeanetteMacDonald_46_f.jpg,JeanetteMacDonald,JeanetteMacDonald,0.6,11.10725403,0.186255932,19788.51138,1,0,1,0,1,0,0
92,93,0.01,0,1,JeanetteMacDonald,43,15502_JeanetteMacDonald_43_f.jpg,JeanetteMacDonald,JeanetteMacDonald,-7.07,10.861413,0.142066136,4929.585728,1,0,1,0,1,0,0
93,94,0.01,0,1,JeanetteMacDonald,59,15514_JeanetteMacDonald_59_f.jpg,JeanetteMacDonald,JeanetteMacDonald,-4.2,11.43668747,0.100800849,-7518.743449,1,0,1,0,1,0,0
94,95,0.01,0,1,KateOMara,20,15576_KateOMara_20_f.jpg,KateOMara,JeanetteMacDonald,-0.4,7.830434799,0.359882802,14047.91856,1,0,0,1,0,1,0
95,96,0.01,0,1,KateOMara,21,15577_KateOMara_21_f.jpg,MickJagger,MickJagger,1.66,4.323065758,0.754580438,-8805.433346,0,1,0,1,0,0,1
96,97,0.01,0,1,KateOMara,29,15585_KateOMara_29_f.jpg,KateOMara,JeanetteMacDonald,0.57,11.60411072,0.132895321,6028.011241,1,0,0,1,0,1,0
97,98,0.01,0,1,KateOMara,36,15592_KateOMara_36_f.jpg,KateOMara,JeanetteMacDonald,-1.02,12.95606041,0.092028223,-366.1030522,1,0,0,1,0,1,0
98,99,0.01,0,1,KateOMara,43,15599_KateOMara_43_f.jpg,KateOMara,JeanetteMacDonald,4.17,8.819326401,0.315328181,-4863.04828,1,0,0,1,0,1,0
99,100,0.01,0,1,KateOMara,50,15606_KateOMara_50_f.jpg,KateOMara,JeanetteMacDonald,2.81,12.34700775,0.059975494,-13427.81937,1,0,0,1,0,1,0
100,101,0.01,0,1,KateOMara,52,15608_KateOMara_52_f.jpg,KateOMara,JeanetteMacDonald,1.64,13.34752655,-0.023153765,353.7827658,1,0,0,1,0,1,0
101,102,0.01,0,1,BobDylan,33,1663_BobDylan_33_m.jpg,BobDylan,JamesCaan,0.27,8.319540977,0.389555156,5670.651245,1,0,0,1,0,1,0
102,103,0.01,0,1,BobDylan,72,1686_BobDylan_72_m.jpg,BobDylan,JanePowell,2.39,10.968256,0.100659005,-204.3688793,1,0,0,1,0,1,0
103,104,0.01,0,1,TomJones,23,1831_TomJones_23_m.jpg,MireilleDarc,MireilleDarc,1.97,5.701532841,0.521471679,10608.83512,0,1,0,1,0,0,1
104,105,0.01,0,1,TomJones,28,1837_TomJones_28_m.jpg,TomJones,TomJones,1.04,4.311063766,0.581660092,-7857.677291,1,0,1,0,1,0,0
105,106,0.01,0,1,TomJones,59,1852_TomJones_59_m.jpg,TomJones,AudreyHepburn,-3.94,12.92028236,0.064337686,2577.298507,1,0,0,1,0,1,0
106,107,0.01,0,1,TomJones,64,1857_TomJones_64_m.jpg,TomJones,AnthonyHopkins,3.06,14.61173534,-0.104113713,14369.45863,1,0,0,1,0,1,0
107,108,0.01,0,1,TomJones,66,1859_TomJones_66_m.jpg,TomJones,AnthonyHopkins,4.64,13.27381229,-0.066281065,-777.588962,1,0,0,1,0,1,0
108,109,0.01,0,1,EdwardFox,34,1908_EdwardFox_34_m.jpg,EdwardFox,GladysCooper,1.63,12.46003342,0.08540456,8010.651465,1,0,0,1,0,1,0
109,110,0.01,0,1,EdwardFox,53,1924_EdwardFox_53_m.jpg,EdwardFox,GladysCooper,0.61,12.41328526,-0.043593977,16251.36554,1,0,0,1,0,1,0
110,111,0.01,0,1,EdwardFox,63,1930_EdwardFox_63_m.jpg,EdwardFox,GladysCooper,-2.38,9.161200523,0.416950136,12531.18782,1,0,0,1,0,1,0
111,112,0.01,0,1,EdwardFox,76,1939_EdwardFox_76_m.jpg,EdwardFox,GladysCooper,-0.42,14.21966648,-0.19506225,-3515.573119,1,0,0,1,0,1,0
112,113,0.01,0,1,JamesCaan,27,1981_JamesCaan_27_m.jpg,MickJagger,MickJagger,1.54,10.98791409,0.13042511,4991.194062,0,1,0,1,0,0,1
113,114,0.01,0,1,JamesCaan,32,1988_JamesCaan_32_m.jpg,MickJagger,MickJagger,3.2,7.615682125,0.287130952,11588.22321,0,1,1,0,0,0,1
114,115,0.01,0,1,JamesCaan,59,2008_JamesCaan_59_m.jpg,JamesCaan,JanePowell,-1.11,13.539361,0.008536032,949.4344859,1,0,0,1,0,1,0
115,116,0.01,0,1,JamesCaan,73,2019_JamesCaan_73_m.jpg,JamesCaan,JamesCaan,-0.72,13.16249371,0.010377324,-11133.02493,1,0,1,0,1,0,0
116,117,0.01,0,1,JonVoight,36,2055_JonVoight_36_m.jpg,JonVoight,JonVoight,-1.03,12.17307568,0.00709127,2074.529105,1,0,1,0,1,0,0
117,118,0.01,0,1,JonVoight,50,2065_JonVoight_50_m.jpg,JonVoight,JonVoight,-0.27,8.194344521,0.3266294,10432.99919,1,0,1,0,1,0,0
118,119,0.01,0,1,JonVoight,60,2073_JonVoight_60_m.jpg,JonVoight,JonVoight,-4.06,12.14868832,0.214795753,11878.85707,1,0,1,0,1,0,0
119,120,0.01,0,1,JonVoight,62,2076_JonVoight_62_m.jpg,JonVoight,JonVoight,0.34,12.20968437,0.07988254,-3385.389323,1,0,1,0,1,0,0
120,121,0.01,0,1,JonVoight,64,2077_JonVoight_64_m.jpg,JonVoight,JonVoight,-1.96,12.59091282,0.126411185,-1971.749236,1,0,1,0,1,0,0
121,122,0.01,0,1,JonVoight,74,2088_JonVoight_74_m.jpg,JonVoight,JonVoight,-0.17,13.80044365,-0.1422185,-1380.652688,1,0,1,0,1,0,0
122,123,0.01,0,1,MelBrooks,40,2097_MelBrooks_40_m.jpg,MickJagger,MickJagger,4.52,7.251857281,0.429076374,-6346.206618,0,1,0,1,0,0,1
123,124,0.01,0,1,MelBrooks,52,2105_MelBrooks_52_m.jpg,MelBrooks,JonVoight,-2.27,13.15092468,0.101636812,-3697.418331,1,0,0,1,0,1,0
124,125,0.01,0,1,MelBrooks,77,2121_MelBrooks_77_m.jpg,MelBrooks,JonVoight,0.97,14.27431679,0.018872073,7801.208504,1,0,0,1,0,1,0
125,126,0.01,0,1,MelBrooks,80,2124_MelBrooks_80_m.jpg,MelBrooks,JonVoight,-1.47,12.50485229,-0.004949603,-4045.286626,1,0,0,1,0,1,0
126,127,0.01,0,1,KevinBacon,27,2709_KevinBacon_27_m.jpg,KevinBacon,EdwardGRobinson,0.31,12.81223488,0.04227595,5249.289696,1,0,0,1,0,1,0
127,128,0.01,0,1,KevinBacon,37,2720_KevinBacon_37_m.jpg,MickJagger,MickJagger,1.02,7.679942608,0.462376416,8804.533462,0,1,0,1,0,0,1
128,129,0.01,0,1,KevinBacon,48,2732_KevinBacon_48_m.jpg,KevinBacon,EdwardGRobinson,-1.26,13.12532902,0.070094213,-3600.903748,1,0,0,1,0,1,0
129,130,0.01,0,1,KevinBacon,52,2737_KevinBacon_52_m.jpg,KevinBacon,EdwardGRobinson,0.42,12.54392242,0.134332806,2332.70558,1,0,0,1,0,1,0
130,131,0.01,0,1,MickJagger,47,2785_MickJagger_47_m.jpg,MickJagger,GladysCooper,-0.36,10.52522755,0.225677967,5416.875464,1,0,0,1,0,1,0
131,132,0.01,0,1,MickJagger,63,2792_MickJagger_63_m.jpg,MickJagger,GladysCooper,0.12,9.72568512,0.285746902,-6639.925444,1,0,0,1,0,1,0
132,133,0.01,0,1,MickJagger,64,2793_MickJagger_64_m.jpg,MickJagger,GladysCooper,5.78,12.69484997,-0.089726985,-6718.620455,1,0,0,1,0,1,0
133,134,0.01,0,1,MickJagger,66,2794_MickJagger_66_m.jpg,MickJagger,GladysCooper,-1.73,12.32854557,0.082603835,-778.6702523,1,0,0,1,0,1,0
134,135,0.01,0,1,MichaelYork,13,3556_MichaelYork_13_m.jpg,MireilleDarc,MireilleDarc,-2.74,4.306994915,0.695252538,5650.985912,0,1,0,1,0,0,1
135,136,0.01,0,1,MichaelYork,50,3579_MichaelYork_50_m.jpg,MichaelYork,PeterFalk,-1.26,11.41498184,0.131432235,-1036.898676,1,0,0,1,0,1,0
136,137,0.01,0,1,MichaelYork,52,3581_MichaelYork_52_m.jpg,MichaelYork,PeterFalk,-0.44,14.05962658,-0.12826179,-6976.750441,1,0,0,1,0,1,0
137,138,0.01,0,1,MichaelYork,61,3589_MichaelYork_61_m.jpg,MichaelYork,PeterFalk,-2.43,13.30617046,-0.019195274,10533.53854,1,0,0,1,0,1,0
138,139,0.01,0,1,MichaelYork,63,3591_MichaelYork_63_m.jpg,MichaelYork,PeterFalk,-1.46,12.94061661,-0.050725304,2227.102191,1,0,0,1,0,1,0
139,140,0.01,0,1,MichaelYork,65,3593_MichaelYork_65_m.jpg,MichaelYork,PeterFalk,2.52,12.89508343,-0.034047499,-9309.62593,1,0,0,1,0,1,0
140,141,0.01,0,1,MichaelYork,70,3596_MichaelYork_70_m.jpg,HelenHayes,HelenHayes,-0.86,11.97220707,0.107954048,-4030.608124,0,1,0,1,0,0,1
141,142,0.01,0,1,GenaRowlands,35,4131_GenaRowlands_35_m.jpg,HelenHayes,HelenHayes,1.78,10.9617939,0.297364354,-9494.517906,0,1,0,1,0,0,1
142,143,0.01,0,1,GenaRowlands,48,4138_GenaRowlands_48_m.jpg,GenaRowlands,DyanCannon,2.76,13.14280796,0.015432729,5363.022575,1,0,0,1,0,1,0
143,144,0.01,0,1,GenaRowlands,77,4159_GenaRowlands_77_m.jpg,GenaRowlands,DyanCannon,0.08,12.67746067,0.065356642,324.1364975,1,0,0,1,0,1,0
144,145,0.01,0,1,MichelPiccoli,34,4736_MichelPiccoli_34_m.jpg,MichelPiccoli,MichelPiccoli,-1.29,5.197896481,0.661735237,-11735.45675,1,0,1,0,1,0,0
145,146,0.01,0,1,MichelPiccoli,51,4757_MichelPiccoli_51_m.jpg,MichelPiccoli,MichelPiccoli,3.16,13.36536217,0.100005507,17530.28526,1,0,1,0,1,0,0
146,147,0.01,0,1,RomanPolanski,33,4885_RomanPolanski_33_m.jpg,RomanPolanski,RoyScheider,3.83,9.791897774,0.222761109,3645.808743,1,0,0,1,0,1,0
